cleaned,bigram,trigram
pengen banget iiiih maksain beli belom resmi indo nunggu masuk indo yaa saran dooong,"['pengen banget', 'banget iiiih', 'iiiih maksain', 'maksain beli', 'beli belom', 'belom resmi', 'resmi indo', 'indo nunggu', 'nunggu masuk', 'masuk indo', 'indo yaa', 'yaa saran', 'saran dooong']","['pengen banget iiiih', 'banget iiiih maksain', 'iiiih maksain beli', 'maksain beli belom', 'beli belom resmi', 'belom resmi indo', 'resmi indo nunggu', 'indo nunggu masuk', 'nunggu masuk indo', 'masuk indo yaa', 'indo yaa saran', 'yaa saran dooong']"
coba review motorola g g vivo s gt g,"['coba review', 'review motorola', 'motorola g', 'g g', 'g vivo', 'vivo s', 's gt', 'gt g']","['coba review motorola', 'review motorola g', 'motorola g g', 'g g vivo', 'g vivo s', 'vivo s gt', 's gt g']"
android android,['android android'],[]
udah pake nge game ama rrq xin seminggu pake mati,"['udah pake', 'pake nge', 'nge game', 'game ama', 'ama rrq', 'rrq xin', 'xin seminggu', 'seminggu pake', 'pake mati']","['udah pake nge', 'pake nge game', 'nge game ama', 'game ama rrq', 'ama rrq xin', 'rrq xin seminggu', 'xin seminggu pake', 'seminggu pake mati']"
apple era steve menantang produkproduk era nya tantang siklus nya bergeser,"['apple era', 'era steve', 'steve menantang', 'menantang produkproduk', 'produkproduk era', 'era nya', 'nya tantang', 'tantang siklus', 'siklus nya', 'nya bergeser']","['apple era steve', 'era steve menantang', 'steve menantang produkproduk', 'menantang produkproduk era', 'produkproduk era nya', 'era nya tantang', 'nya tantang siklus', 'tantang siklus nya', 'siklus nya bergeser']"
expect sumpahyg masang kaget muka nonton,"['expect sumpahyg', 'sumpahyg masang', 'masang kaget', 'kaget muka', 'muka nonton']","['expect sumpahyg masang', 'sumpahyg masang kaget', 'masang kaget muka', 'kaget muka nonton']"
sumpah momen kocag banget foto bang david layar mata nya pas banget bulat nya kamera nya,"['sumpah momen', 'momen kocag', 'kocag banget', 'banget foto', 'foto bang', 'bang david', 'david layar', 'layar mata', 'mata nya', 'nya pas', 'pas banget', 'banget bulat', 'bulat nya', 'nya kamera', 'kamera nya']","['sumpah momen kocag', 'momen kocag banget', 'kocag banget foto', 'banget foto bang', 'foto bang david', 'bang david layar', 'david layar mata', 'layar mata nya', 'mata nya pas', 'nya pas banget', 'pas banget bulat', 'banget bulat nya', 'bulat nya kamera', 'nya kamera nya']"
ya tuhan bikin speechless visualnya memanjakan mata ceritanya penuh makna untungnya top banget,"['ya tuhan', 'tuhan bikin', 'bikin speechless', 'speechless visualnya', 'visualnya memanjakan', 'memanjakan mata', 'mata ceritanya', 'ceritanya penuh', 'penuh makna', 'makna untungnya', 'untungnya top', 'top banget']","['ya tuhan bikin', 'tuhan bikin speechless', 'bikin speechless visualnya', 'speechless visualnya memanjakan', 'visualnya memanjakan mata', 'memanjakan mata ceritanya', 'mata ceritanya penuh', 'ceritanya penuh makna', 'penuh makna untungnya', 'makna untungnya top', 'untungnya top banget']"
gak sabar share temen ceritanya bikin penasaran kemenangannya bikin happy ayo main bareng,"['gak sabar', 'sabar share', 'share temen', 'temen ceritanya', 'ceritanya bikin', 'bikin penasaran', 'penasaran kemenangannya', 'kemenangannya bikin', 'bikin happy', 'happy ayo', 'ayo main', 'main bareng']","['gak sabar share', 'sabar share temen', 'share temen ceritanya', 'temen ceritanya bikin', 'ceritanya bikin penasaran', 'bikin penasaran kemenangannya', 'penasaran kemenangannya bikin', 'kemenangannya bikin happy', 'bikin happy ayo', 'happy ayo main', 'ayo main bareng']"
terima kasih pengalaman seru ceritanya bikin mikir visualnya keren abis,"['terima kasih', 'kasih pengalaman', 'pengalaman seru', 'seru ceritanya', 'ceritanya bikin', 'bikin mikir', 'mikir visualnya', 'visualnya keren', 'keren abis']","['terima kasih pengalaman', 'kasih pengalaman seru', 'pengalaman seru ceritanya', 'seru ceritanya bikin', 'ceritanya bikin mikir', 'bikin mikir visualnya', 'mikir visualnya keren', 'visualnya keren abis']"
keren banget menang pengalaman nyentuh hati mantap,"['keren banget', 'banget menang', 'menang pengalaman', 'pengalaman nyentuh', 'nyentuh hati', 'hati mantap']","['keren banget menang', 'banget menang pengalaman', 'menang pengalaman nyentuh', 'pengalaman nyentuh hati', 'nyentuh hati mantap']"
ya tuhan bikin speechless visualnya memanjakan mata ceritanya penuh makna,"['ya tuhan', 'tuhan bikin', 'bikin speechless', 'speechless visualnya', 'visualnya memanjakan', 'memanjakan mata', 'mata ceritanya', 'ceritanya penuh', 'penuh makna']","['ya tuhan bikin', 'tuhan bikin speechless', 'bikin speechless visualnya', 'speechless visualnya memanjakan', 'visualnya memanjakan mata', 'memanjakan mata ceritanya', 'mata ceritanya penuh', 'ceritanya penuh makna']"
pingin iphone,['pingin iphone'],[]
xiomi ultra bang,"['xiomi ultra', 'ultra bang']",['xiomi ultra bang']
redmi k pro max,"['redmi k', 'k pro', 'pro max']","['redmi k pro', 'k pro max']"
xiaomi mi ultra udh gitu bang,"['xiaomi mi', 'mi ultra', 'ultra udh', 'udh gitu', 'gitu bang']","['xiaomi mi ultra', 'mi ultra udh', 'ultra udh gitu', 'udh gitu bang']"
liburannya main mamarika,"['liburannya main', 'main mamarika']",['liburannya main mamarika']
bentuk xiomi poco delua,"['bentuk xiomi', 'xiomi poco', 'poco delua']","['bentuk xiomi poco', 'xiomi poco delua']"
apple serasa kw nya xiaomi,"['apple serasa', 'serasa kw', 'kw nya', 'nya xiaomi']","['apple serasa kw', 'serasa kw nya', 'kw nya xiaomi']"
setuju gwa loe bilang brand experiment hahaha china laku keras ni barang om,"['setuju gwa', 'gwa loe', 'loe bilang', 'bilang brand', 'brand experiment', 'experiment hahaha', 'hahaha china', 'china laku', 'laku keras', 'keras ni', 'ni barang', 'barang om']","['setuju gwa loe', 'gwa loe bilang', 'loe bilang brand', 'bilang brand experiment', 'brand experiment hahaha', 'experiment hahaha china', 'hahaha china laku', 'china laku keras', 'laku keras ni', 'keras ni barang', 'ni barang om']"
perang perdagangan negara china vs amerika raksasa dunia industri target pasar indonesia,"['perang perdagangan', 'perdagangan negara', 'negara china', 'china vs', 'vs amerika', 'amerika raksasa', 'raksasa dunia', 'dunia industri', 'industri target', 'target pasar', 'pasar indonesia']","['perang perdagangan negara', 'perdagangan negara china', 'negara china vs', 'china vs amerika', 'vs amerika raksasa', 'amerika raksasa dunia', 'raksasa dunia industri', 'dunia industri target', 'industri target pasar', 'target pasar indonesia']"
hei hei hei hoki cuy,"['hei hei', 'hei hei', 'hei hoki', 'hoki cuy']","['hei hei hei', 'hei hei hoki', 'hei hoki cuy']"
bang iphone promax vs iphone promax,"['bang iphone', 'iphone promax', 'promax vs', 'vs iphone', 'iphone promax']","['bang iphone promax', 'iphone promax vs', 'promax vs iphone', 'vs iphone promax']"
xial quandrad,['xial quandrad'],[]
bang bahas iqoo zr bang,"['bang bahas', 'bahas iqoo', 'iqoo zr', 'zr bang']","['bang bahas iqoo', 'bahas iqoo zr', 'iqoo zr bang']"
waw beli ngonten,"['waw beli', 'beli ngonten']",['waw beli ngonten']
boxnya gitu ya kayak bungkus jenang kudus,"['boxnya gitu', 'gitu ya', 'ya kayak', 'kayak bungkus', 'bungkus jenang', 'jenang kudus']","['boxnya gitu ya', 'gitu ya kayak', 'ya kayak bungkus', 'kayak bungkus jenang', 'bungkus jenang kudus']"
inovasi udah nyaingin ip yaa berpikir nyaingin bikin orangorang pilih iphone kamera utama kamera ip nya bagus klo brand nyaingin kamera utamanya kamera kalah ip,"['inovasi udah', 'udah nyaingin', 'nyaingin ip', 'ip yaa', 'yaa berpikir', 'berpikir nyaingin', 'nyaingin bikin', 'bikin orangorang', 'orangorang pilih', 'pilih iphone', 'iphone kamera', 'kamera utama', 'utama kamera', 'kamera ip', 'ip nya', 'nya bagus', 'bagus klo', 'klo brand', 'brand nyaingin', 'nyaingin kamera', 'kamera utamanya', 'utamanya kamera', 'kamera kalah', 'kalah ip']","['inovasi udah nyaingin', 'udah nyaingin ip', 'nyaingin ip yaa', 'ip yaa berpikir', 'yaa berpikir nyaingin', 'berpikir nyaingin bikin', 'nyaingin bikin orangorang', 'bikin orangorang pilih', 'orangorang pilih iphone', 'pilih iphone kamera', 'iphone kamera utama', 'kamera utama kamera', 'utama kamera ip', 'kamera ip nya', 'ip nya bagus', 'nya bagus klo', 'bagus klo brand', 'klo brand nyaingin', 'brand nyaingin kamera', 'nyaingin kamera utamanya', 'kamera utamanya kamera', 'utamanya kamera kalah', 'kamera kalah ip']"
